Mac-ID,SMILES,Avg-B-Score,Avg-Res-Growth,Active
MAC-0001250,"S(=O)(=O)(NC(=O)N1CCN(Cc2c(cc(cc2)Cl)Cl)CCC1)c1ccc(cc1)C	",2.561,0.9315,0
MAC-0001254,"c1(oc(nn1)SCc1c(F)cccc1Cl)c1occc1	",-0.1735,0.914,0
MAC-0001257,"c1(nc2n(c1)cc(C(F)(F)F)cc2Cl)c1oc(nn1)SCc1c(F)cccc1Cl	",-0.1015,0.9385,0
MAC-0001258,"c1(n(ccn1)c1cnccc1)SCc1c(F)cccc1Cl	",0.0505,0.946,0
MAC-0152200,"c1(c(ccc(c1)Cl)C)NC(=S)NCCNc1nc(ccn1)C(F)(F)F	",-0.589,0.9565,0
MAC-0001260,"S(=O)(=O)(NC(=O)NCCNc1nc(C(F)(F)F)ccn1)c1ccc(cc1)C	",-0.2085,1.0305,0
MAC-0001263,"c1(c(sc2c1CCN(C2)Cc1ccccc1)N)C(=O)OCC	",-1.1965,0.9315,0
MAC-0001265,"C(c1nc(ncc1)NCCNC(=S)NCc1occc1)(F)(F)F	",-2.1235,0.8535,0
MAC-0001266,"C(c1nc(ncc1)NCCNCC(COc1cc(c(cc1)Cl)Cl)O)(F)(F)F	",-0.114,0.9135,0
MAC-0001269,"S(=O)(=O)(c1sc(c2nc(sc2)C)cc1)N1CCN(c2nc(ns2)c2ccccc2)CC1	",2.1185,0.9385,0
MAC-0001272,"C(c1nc(ncc1)NCC/N=C/c1cc(c(cc1)OC)OC)(F)(F)F	",-0.261,0.942,0
MAC-0001291,"C(=O)(N1CCC(CC1)O)Nc1c(c(Cl)ccc1)C	",2.7735,0.974,0
MAC-0152208,"c1(S(=O)(=O)N2CCN(CCC2)c2ccc(cn2)[N+](=O)[O-])ccc(cc1)Cl	",0.5255,0.9705,0
MAC-0001307,"C(=S)(N1CCC(CC1)O)NCCc1ccccc1	",0.4745,1.041,0
MAC-0001309,"[N+](=O)(c1cnc(N2CCN(C(=S)Nc3c(c(Cl)ccc3)C)CC2)cc1)[O-]	",2.249,0.935,0
MAC-0001311,"[N+](=O)(c1cnc(N2CCN(C(=S)NCCCOC)CC2)cc1)[O-]	",0.08,0.8465,0
